ip,verdict,risk_score,risk_level,reason,if_score,svm_score,label
127.0.0.1,Normal,0.0,None,Clean,-0.4825934889489703,5.342703071706045e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4672786454261322,-3.1173082282489315e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5231907648582651,0.0003890009749218299,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5065049228339721,1.5119472692475726e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (One-Class SVM Only),-0.5920518170405645,-0.0002207177220497473,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4943429477705554,0.00019488043151042714,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4826912388430052,0.00016402327302659098,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4825934889489703,5.342703071706045e-05,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (One-Class SVM Only),-0.5289216724270158,-0.0002269146367430211,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5069394932283263,0.00017305179381020186,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4825934889489703,5.342703071706045e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5353824391612017,-2.4547713091048918e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5079440598253637,0.000310965547841203,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.49421574441281274,0.00019529922289423366,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4825934889489703,5.342703071706045e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5231907648582651,0.0003890009749218299,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.0007435493777769005,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5726132816121005,0.0006358623484812571,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5421979119639424,0.0005812334481877267,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4825934889489703,5.342703071706045e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4751925340707303,-3.123060501581472e-05,Normal
