total_read_operations,total_write_operations,total_delete_operations,total_events,read_write_ratio,distinct_files_accessed,distinct_processes_used,admin_share_access_count,lolbin_event_count,off_hour_activity_ratio,hour_sin,hour_cos,successful_logon_count,failed_logon_count,failed_logon_ratio,distinct_logon_source_ips,explicit_credential_count,new_process_count,suspicious_process_count,distinct_parent_processes,scheduled_task_created_count,service_installed_count,audit_log_cleared_count,object_deleted_count,share_session_count,distinct_shares_accessed,SubjectUserName,TimeWindow
0,0,0,12,0.0,1,1,0,0,1.0,-0.5,0.866,1,0,0.0,0,0,11,0,0,0,0,0,0,0,0,-,2026-03-18 22:00:00+07:00
0,0,0,13,0.0,1,1,0,0,1.0,0.2588,0.9659,1,0,0.0,0,0,12,0,0,0,0,0,0,0,0,-,2026-03-22 01:00:00+07:00
0,0,0,24,0.0,1,1,0,0,1.0,0.9659,-0.2588,2,0,0.0,0,0,22,0,0,0,0,0,0,0,0,-,2026-03-22 07:00:00+07:00
0,0,0,12,0.0,1,1,0,0,1.0,0.0,1.0,1,0,0.0,0,0,11,0,0,0,0,0,0,0,0,-,2026-03-23 00:00:00+07:00
0,0,0,30,0.0,1,1,0,0,1.0,-0.7071,0.7071,30,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-18 21:00:00+07:00
0,0,0,93,0.0,1,4,0,0,1.0,-0.5,0.866,89,0,0.0,1,4,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-18 22:00:00+07:00
0,0,0,20,0.0,1,1,0,0,1.0,-0.2588,0.9659,20,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-18 23:00:00+07:00
0,0,0,11,0.0,1,1,0,0,1.0,0.0,1.0,11,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-19 00:00:00+07:00
0,0,0,9,0.0,1,1,0,0,1.0,0.2588,0.9659,9,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-19 01:00:00+07:00
0,0,0,11,0.0,1,1,0,0,1.0,0.5,0.866,11,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-19 02:00:00+07:00
0,0,0,23,0.0,1,2,0,0,0.0,-0.7071,-0.7071,22,0,0.0,1,1,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-19 15:00:00+07:00
0,0,0,8,0.0,1,1,0,0,0.0,-0.866,-0.5,8,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-19 16:00:00+07:00
0,0,0,19,0.0,1,1,0,0,0.0,-0.9659,-0.2588,19,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-19 17:00:00+07:00
0,0,0,12,0.0,1,1,0,0,1.0,-1.0,-0.0,12,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-19 18:00:00+07:00
0,0,0,10,0.0,1,1,0,0,1.0,-0.9659,0.2588,10,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-19 19:00:00+07:00
0,0,0,11,0.0,1,1,0,0,1.0,-0.866,0.5,11,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-19 20:00:00+07:00
0,0,0,15,0.0,1,1,0,0,1.0,-0.7071,0.7071,15,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-19 21:00:00+07:00
0,0,0,9,0.0,1,1,0,0,1.0,-0.5,0.866,9,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-19 22:00:00+07:00
0,0,0,12,0.0,1,1,0,0,1.0,-0.2588,0.9659,12,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-19 23:00:00+07:00
0,0,0,15,0.0,1,1,0,0,1.0,0.0,1.0,15,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-20 00:00:00+07:00
0,0,0,13,0.0,1,1,0,0,1.0,0.2588,0.9659,13,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-20 01:00:00+07:00
0,0,0,10,0.0,1,1,0,0,1.0,0.5,0.866,10,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-20 02:00:00+07:00
0,0,0,18,0.0,1,1,0,0,1.0,0.7071,0.7071,18,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-20 03:00:00+07:00
0,0,0,22,0.0,1,1,0,0,1.0,0.866,0.5,22,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-20 04:00:00+07:00
0,0,0,12,0.0,1,1,0,0,1.0,0.9659,0.2588,12,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-20 05:00:00+07:00
0,0,0,12,0.0,1,1,0,0,1.0,1.0,0.0,12,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-20 06:00:00+07:00
0,0,0,8,0.0,1,1,0,0,1.0,0.9659,-0.2588,8,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-20 07:00:00+07:00
0,0,0,14,0.0,1,1,0,0,0.0,0.866,-0.5,14,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-20 08:00:00+07:00
0,0,0,12,0.0,1,1,0,0,0.0,0.7071,-0.7071,12,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-20 09:00:00+07:00
0,0,0,8,0.0,1,1,0,0,0.0,0.5,-0.866,8,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-20 10:00:00+07:00
0,0,0,14,0.0,1,1,0,0,0.0,0.2588,-0.9659,14,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-20 11:00:00+07:00
0,0,0,14,0.0,1,1,0,0,0.0,0.0,-1.0,14,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-20 12:00:00+07:00
0,0,0,11,0.0,1,1,0,0,0.0,-0.2588,-0.9659,11,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-20 13:00:00+07:00
0,0,0,13,0.0,1,1,0,0,0.0,-0.5,-0.866,13,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-20 14:00:00+07:00
0,0,0,16,0.0,1,1,0,0,0.0,-0.7071,-0.7071,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-20 15:00:00+07:00
0,0,0,11,0.0,1,1,0,0,0.0,-0.866,-0.5,11,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-20 16:00:00+07:00
0,0,0,9,0.0,1,1,0,0,0.0,-0.9659,-0.2588,9,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-20 17:00:00+07:00
0,0,0,16,0.0,1,1,0,0,1.0,-1.0,-0.0,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,DESKTOP-51VPDQG$,2026-03-20 18:00:00+07:00
