total_read_operations,total_write_operations,total_delete_operations,total_events,read_write_ratio,distinct_files_accessed,distinct_processes_used,admin_share_access_count,lolbin_event_count,off_hour_activity_ratio,hour_sin,hour_cos,successful_logon_count,failed_logon_count,failed_logon_ratio,distinct_logon_source_ips,explicit_credential_count,new_process_count,suspicious_process_count,distinct_parent_processes,scheduled_task_created_count,service_installed_count,audit_log_cleared_count,object_deleted_count,share_session_count,distinct_shares_accessed,SubjectUserName,TimeWindow
0,0,0,14,0.0,1,1,0,0,1.0,0.866,0.5,1,0,0.0,0,0,13,0,0,0,0,0,0,0,0,-,2026-03-23 04:00:00+07:00
0,0,0,14,0.0,1,1,0,0,0.0,0.5,-0.866,1,0,0.0,0,0,13,0,0,0,0,0,0,0,0,-,2026-03-23 10:00:00+07:00
0,0,0,14,0.0,1,1,0,0,0.0,-0.5,-0.866,1,0,0.0,0,0,13,0,0,0,0,0,0,0,0,-,2026-03-25 14:00:00+07:00
0,0,0,14,0.0,1,1,0,0,1.0,-1.0,-0.0,1,0,0.0,0,0,13,0,0,0,0,0,0,0,0,-,2026-03-25 18:00:00+07:00
0,0,0,14,0.0,1,1,0,0,0.0,0.7071,-0.7071,1,0,0.0,0,0,13,0,0,0,0,0,0,0,0,-,2026-03-26 09:00:00+07:00
0,0,0,16,0.0,1,1,0,0,1.0,0.5,0.866,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,TLAQUARIUS$,2026-03-22 02:00:00+07:00
0,0,0,21,0.0,1,1,0,0,1.0,0.7071,0.7071,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,TLAQUARIUS$,2026-03-22 03:00:00+07:00
0,0,0,15,0.0,1,1,0,0,1.0,0.866,0.5,15,0,0.0,0,0,0,0,0,0,0,0,0,0,0,TLAQUARIUS$,2026-03-22 04:00:00+07:00
0,0,0,5,0.0,1,1,0,0,1.0,0.9659,0.2588,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,TLAQUARIUS$,2026-03-22 05:00:00+07:00
0,0,0,4,0.0,1,1,0,0,1.0,1.0,0.0,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,TLAQUARIUS$,2026-03-22 06:00:00+07:00
0,0,0,16,0.0,1,2,0,0,1.0,0.9659,-0.2588,15,0,0.0,1,1,0,0,0,0,0,0,0,0,0,TLAQUARIUS$,2026-03-22 07:00:00+07:00
0,0,0,24,0.0,1,1,0,0,0.0,0.866,-0.5,24,0,0.0,0,0,0,0,0,0,0,0,0,0,0,TLAQUARIUS$,2026-03-22 08:00:00+07:00
0,0,0,14,0.0,1,1,0,0,0.0,0.7071,-0.7071,14,0,0.0,0,0,0,0,0,0,0,0,0,0,0,TLAQUARIUS$,2026-03-22 09:00:00+07:00
0,0,0,17,0.0,1,1,0,0,0.0,0.5,-0.866,17,0,0.0,0,0,0,0,0,0,0,0,0,0,0,TLAQUARIUS$,2026-03-22 10:00:00+07:00
0,0,0,13,0.0,1,1,0,0,0.0,0.2588,-0.9659,13,0,0.0,0,0,0,0,0,0,0,0,0,0,0,TLAQUARIUS$,2026-03-22 11:00:00+07:00
0,0,0,22,0.0,1,1,0,0,0.0,0.0,-1.0,22,0,0.0,0,0,0,0,0,0,0,0,0,0,0,TLAQUARIUS$,2026-03-22 12:00:00+07:00
0,0,0,13,0.0,1,1,0,0,0.0,-0.2588,-0.9659,13,0,0.0,0,0,0,0,0,0,0,0,0,0,0,TLAQUARIUS$,2026-03-22 13:00:00+07:00
0,0,0,20,0.0,1,1,0,0,0.0,-0.5,-0.866,20,0,0.0,0,0,0,0,0,0,0,0,0,0,0,TLAQUARIUS$,2026-03-22 14:00:00+07:00
0,0,0,13,0.0,1,1,0,0,0.0,-0.7071,-0.7071,13,0,0.0,0,0,0,0,0,0,0,0,0,0,0,TLAQUARIUS$,2026-03-22 15:00:00+07:00
0,0,0,21,0.0,1,1,0,0,0.0,-0.866,-0.5,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,TLAQUARIUS$,2026-03-22 16:00:00+07:00
