Source IP,total_flows,anomaly_flows,mean_score,min_score,unique_dest,bytes_sent,bytes_received,first_seen,last_seen,anomaly_ratio,active_duration,ratio_norm,flow_norm,risk_score,apt_flag
 192.168.0.117  ,7,1,-0.06052575933387437,-0.1721817965101946,7,81709,70806,2025-01-01 09:27:22,2025-01-01 09:32:04,0.14285714285714285,282.0,0.14285700000014287,0.041666664930555625,0.1124998994792667,0
 192.168.0.135  ,7,1,-0.058003789108170375,-0.11407863775575766,7,109413,131381,2025-01-01 09:38:08,2025-01-01 09:45:44,0.14285714285714285,456.0,0.14285700000014287,0.041666664930555625,0.1124998994792667,0
 192.168.0.178  ,23,0,0.0799147734969878,0.05173103444588384,1,3184,1905,2025-01-01 15:07:14,2025-01-01 15:28:14,0.0,1260.0,0.0,0.0,0.0,0
 192.168.0.183  ,6,1,-0.06642080628113117,-0.11966247685558029,6,107329,111106,2025-01-01 05:41:11,2025-01-01 05:53:04,0.16666666666666666,713.0,0.16666650000016667,0.041666664930555625,0.12916654947928335,0
 192.168.0.190  ,7,2,-0.04152948356945312,-0.10656082171422498,7,106777,69276,2025-01-01 03:10:25,2025-01-01 03:19:15,0.2857142857142857,530.0,0.28571400000028574,0.08333332986111125,0.2249997989585334,0
 192.168.0.2    ,4,1,-0.11217044459006287,-0.2277852139258626,4,4119992,526826,2025-01-01 13:01:31,2025-01-01 13:03:09,0.25,98.0,0.24999975000025002,0.041666664930555625,0.1874998244793417,0
 192.168.0.249  ,36,0,0.07575995436015198,0.037912989297586075,1,5229,3047,2025-01-01 18:48:33,2025-01-01 19:18:33,0.0,1800.0,0.0,0.0,0.0,0
 192.168.0.51   ,5,3,-0.09057114232566617,-0.10671622830049876,5,113930,67874,2025-01-01 11:51:48,2025-01-01 11:59:09,0.6,441.0,0.5999994000006,0.12499999479166687,0.45749957843792005,1
 192.168.0.69   ,10,2,-0.08561731611960197,-0.2395824669895401,10,1634138,4918369,2025-01-01 08:52:44,2025-01-01 09:09:52,0.2,1028.0,0.19999980000020004,0.08333332986111125,0.1649998589584734,0
 192.168.0.97   ,6,1,-0.06496210772616577,-0.1297968538153791,6,75429,82982,2025-01-01 23:29:54,2025-01-01 23:39:49,0.16666666666666666,595.0,0.16666650000016667,0.041666664930555625,0.12916654947928335,0
 192.168.1.124  ,8,3,-0.09173604231666853,-0.23747934314616015,8,2152340,1082132,2025-01-01 08:43:21,2025-01-01 08:59:33,0.375,972.0,0.37499962500037504,0.12499999479166687,0.2999997359377626,0
 192.168.1.129  ,3,0,-0.067034679681096,-0.08727782355098013,3,59876,44405,2025-01-01 21:15:22,2025-01-01 21:17:32,0.0,130.0,0.0,0.0,0.0,0
 192.168.1.136  ,4,0,-0.05998422157325345,-0.09005177920341245,4,59540,73342,2025-01-01 13:22:35,2025-01-01 13:25:50,0.0,195.0,0.0,0.0,0.0,0
 192.168.1.175  ,5,2,-0.11395564590371488,-0.24551197864410623,5,2104071,2679749,2025-01-01 23:43:08,2025-01-01 23:51:50,0.4,522.0,0.3999996000004001,0.08333332986111125,0.30499971895861344,0
 192.168.1.177  ,3,1,-0.0825853713472418,-0.11510644719520013,3,39517,41269,2025-01-01 13:40:05,2025-01-01 13:47:27,0.3333333333333333,442.0,0.33333300000033333,0.041666664930555625,0.24583309947940002,0
 192.168.1.179  ,3,2,-0.15028719841948035,-0.25028369203838363,3,3399230,2471601,2025-01-01 11:04:56,2025-01-01 11:07:04,0.6666666666666666,128.0,0.6666660000006667,0.08333332986111125,0.49166619895880004,1
 192.168.1.22   ,59,0,0.07408671837556688,-0.03133730797895662,59,6795,0,2025-01-01 13:56:24,2025-01-01 13:57:46,0.0,82.0,0.0,0.0,0.0,0
 192.168.1.231  ,3,1,-0.0659725489943986,-0.10154997315543357,3,43213,55109,2025-01-01 05:16:57,2025-01-01 05:21:31,0.3333333333333333,274.0,0.33333300000033333,0.041666664930555625,0.24583309947940002,0
 192.168.1.238  ,3,1,-0.05147786052291007,-0.1300372967452209,3,44378,13557,2025-01-01 17:22:15,2025-01-01 17:24:46,0.3333333333333333,151.0,0.33333300000033333,0.041666664930555625,0.24583309947940002,0
 192.168.1.246  ,21,19,-0.13864234963380187,-0.16633290065676598,1,2753900,54092,2025-01-01 23:31:27,2025-01-02 00:13:49,0.9047619047619048,2542.0,0.9047610000009049,0.7916666336805569,0.8708326901048005,1
 192.168.1.31   ,6,0,-0.038097034013025,-0.07424395396910632,6,81139,51888,2025-01-01 12:37:21,2025-01-01 12:44:45,0.0,444.0,0.0,0.0,0.0,0
 192.168.1.70   ,6,3,-0.09498356713256711,-0.25451716848920747,6,1636985,4479397,2025-01-01 03:55:47,2025-01-01 04:00:34,0.5,287.0,0.49999950000050003,0.12499999479166687,0.38749964843785006,0
 192.168.1.93   ,5,1,-0.06037002189893279,-0.11181538077228259,5,65181,44494,2025-01-01 15:17:58,2025-01-01 15:26:57,0.2,539.0,0.19999980000020004,0.041666664930555625,0.15249985947930672,0
 192.168.1.99   ,6,1,-0.08695680105275322,-0.2390439015090261,6,1348168,1790266,2025-01-01 22:37:44,2025-01-01 22:51:29,0.16666666666666666,825.0,0.16666650000016667,0.041666664930555625,0.12916654947928335,0
 192.168.10.110 ,11,11,-0.1318402760324511,-0.1616501620665053,1,1351668,28033,2025-01-01 11:36:01,2025-01-01 11:57:39,1.0,1298.0,0.9999990000010001,0.4583333142361119,0.8374992942715336,1
 192.168.10.121 ,10,0,-0.05004164033338263,-0.0940249946569014,10,147561,135782,2025-01-01 15:35:33,2025-01-01 15:46:31,0.0,658.0,0.0,0.0,0.0,0
