timestamp,program,action,user,rip
2022-01-15 06:33:58,sshd,Session Closed,hwarren,
2022-01-15 06:53:50,sshd,Login Success,phopkins,10.35.35.202
2022-01-15 06:53:50,sshd,Session Opened,phopkins,
2022-01-15 06:53:50,systemd-logind,Systemd Session Opened,phopkins.,
2022-01-15 06:53:50,systemd,Systemd Session Opened,phopkins,
2022-01-15 06:54:41,sshd,Disconnected,,10.35.35.202
2022-01-15 06:54:41,sshd,Disconnected,,10.35.35.202
2022-01-15 06:54:41,sshd,Session Closed,phopkins,
2022-01-15 07:23:25,sshd,Login Success,phopkins,10.35.35.202
2022-01-15 07:23:25,sshd,Session Opened,phopkins,
2022-01-15 07:23:25,systemd-logind,Systemd Session Opened,phopkins.,
2022-01-15 07:23:25,systemd,Systemd Session Opened,phopkins,
2022-01-15 09:16:10,sshd,Login Success,hwarren,172.17.130.196
2022-01-15 09:16:10,sshd,Session Opened,hwarren,
2022-01-15 09:16:10,systemd-logind,Systemd Session Opened,hwarren.,
2022-01-15 09:16:10,systemd,Systemd Session Opened,hwarren,
2022-01-15 09:16:27,sshd,Disconnected,,172.17.130.196
2022-01-15 09:16:27,sshd,Disconnected,,172.17.130.196
2022-01-15 09:16:27,sshd,Session Closed,hwarren,
2022-01-15 12:21:09,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 12:21:17,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 12:21:25,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 12:21:28,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 12:21:32,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 12:21:36,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 12:21:41,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 12:21:45,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:07:59,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:08:06,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:08:14,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:08:18,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:08:22,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:08:25,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:08:30,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:08:34,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:12:28,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:12:36,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:12:44,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:12:48,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:12:56,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:13:00,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:13:03,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:14:28,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:14:36,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:14:43,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:14:47,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:16:07,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:16:15,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:16:23,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:16:31,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:21:28,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:21:36,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:21:43,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:21:47,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:21:53,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:21:57,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 14:22:01,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:10:36,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:10:44,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:10:52,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:10:56,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:11:00,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:11:05,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:11:08,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:11:12,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:13:31,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:13:39,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:13:47,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:13:50,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:15:04,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:15:13,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:15:21,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:15:24,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:16:06,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:16:13,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:16:20,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:16:24,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:18:44,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:18:53,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:19:00,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:19:04,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:20:44,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:20:51,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:20:59,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:21:02,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:22:30,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:22:37,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:22:45,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 16:22:49,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 17:11:18,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 17:11:26,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 17:11:33,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 17:11:37,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 17:11:40,auth,Login Failed,michael.davis,172.17.131.81
2022-01-15 17:11:45,auth,Login Failed,michael.davis,172.17.131.81
