timestamp,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes,rule_id,interface,entry,summary,suspicious,risk_type,severity,action.1,next_prediction
2025-09-27T09:00:00Z,10.0.0.5,8.8.8.8,54321,53,UDP,ALLOW,64,210,eth1,"['2025-09-27T09:02:00Z', '2025-09-27T09:02:05Z', '2025-09-27T09:04:00Z', '2025-09-27T09:07:00Z']",Địa chỉ IP bên ngoài 198.51.100.23 liên tục cố gắng kết nối đến máy chủ nội bộ 10.0.0.5 trên các cổng dịch vụ nhạy cảm như SSH (22) và RDP (3389). Tất cả các nỗ lực này đều bị tường lửa chặn.,Có,Quét cổng (Port Scan) hoặc dò tìm lỗ hổng (Vulnerability Probing),Trung bình,Chặn địa chỉ IP nguồn 198.51.100.23 ngay lập tức trên tường lửa và kiểm tra các log khác từ IP này. Cần kiểm tra thêm các hệ thống phòng thủ khác (IDS/IPS) để xem có cảnh báo nào liên quan không.,"Kẻ tấn công có thể sẽ tiếp tục thử các cổng khác hoặc sử dụng các phương thức tấn công khác nếu không bị chặn, hoặc chuyển sang tấn công các mục tiêu khác trong mạng."
2025-09-27T09:01:00Z,10.0.0.5,198.51.100.100,443,52345,TCP,ALLOW,1024,201,eth1,['2025-09-27T09:06:00Z'],Máy chủ nội bộ 10.0.0.5 đã thực hiện một kết nối ra bên ngoài đến 198.51.100.102 qua cổng 443 (HTTPS) với lượng dữ liệu truyền tải lớn bất thường (2MB) trong một lần ghi log.,Có,"Có thể là rò rỉ dữ liệu (Data Exfiltration), tải xuống phần mềm độc hại (Malware Download) hoặc giao tiếp với máy chủ C2 (Command and Control).",Cao,"Cần điều tra ngay lập tức máy chủ 10.0.0.5 để xác định nguyên nhân của việc truyền dữ liệu lớn này. Kiểm tra các tiến trình đang chạy, log hệ thống, và phần mềm diệt virus. Đồng thời, kiểm tra danh tiếng của IP đích 198.51.100.102 và chặn IP này nếu cần thiết.","Nếu là rò rỉ dữ liệu, có thể sẽ có thêm các đợt truyền dữ liệu lớn khác. Nếu là malware, máy chủ 10.0.0.5 có thể đã bị kiểm soát và sẽ tiếp tục các hoạt động độc hại hoặc lây nhiễm sang các máy khác trong mạng."
2025-09-27T09:02:00Z,198.51.100.23,10.0.0.5,49212,22,TCP,DENY,0,101,eth0,,,,,,,
2025-09-27T09:02:05Z,198.51.100.23,10.0.0.5,49213,22,TCP,DENY,0,101,eth0,,,,,,,
2025-09-27T09:03:00Z,10.0.0.5,198.51.100.101,80,52346,TCP,ALLOW,512,201,eth1,,,,,,,
2025-09-27T09:04:00Z,198.51.100.23,10.0.0.5,49214,22,TCP,DENY,0,101,eth0,,,,,,,
2025-09-27T09:05:00Z,10.0.0.5,8.8.4.4,54322,53,UDP,ALLOW,64,210,eth1,,,,,,,
2025-09-27T09:06:00Z,10.0.0.5,198.51.100.102,443,52347,TCP,ALLOW,2048000,201,eth1,,,,,,,
2025-09-27T09:07:00Z,198.51.100.23,10.0.0.5,49215,3389,TCP,DENY,0,102,eth0,,,,,,,
2025-09-27T09:08:00Z,10.0.0.5,192.0.2.10,80,52348,TCP,ALLOW,1024,201,eth1,,,,,,,
