timestamp,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes,rule_id,interface,entry,summary,suspicious,risk_type,severity,action.1,next_prediction
2025-09-26T14:20:10Z,198.51.100.23,10.0.0.5,49212,22,TCP,DENY,0,101,eth0,"['2025-09-26T14:20:10Z', '2025-09-26T14:20:12Z', '2025-09-26T14:20:15Z']",Nhiều lần cố gắng kết nối SSH từ địa chỉ IP bên ngoài 198.51.100.23 đến máy chủ nội bộ 10.0.0.5 đã bị tường lửa từ chối. Đây có thể là một cuộc tấn công dò quét cổng hoặc vét cạn mật khẩu.,Có,"Dò quét cổng (Port Scan), Tấn công vét cạn (Brute Force)",Trung bình,"Theo dõi địa chỉ IP nguồn 198.51.100.23. Nếu các nỗ lực tiếp tục, cân nhắc chặn IP này vĩnh viễn.",Kẻ tấn công có thể tiếp tục thử các phương thức tấn công khác hoặc nhắm mục tiêu vào các cổng/dịch vụ khác trên mạng nội bộ.
2025-09-26T14:20:12Z,198.51.100.23,10.0.0.5,49212,22,TCP,DENY,0,101,eth0,"['2025-09-26T15:00:00Z', '2025-09-26T15:00:05Z']",Máy chủ nội bộ 10.0.0.5 đã truyền tổng cộng 102MB dữ liệu ra hai địa chỉ IP bên ngoài khác nhau (198.51.100.100 và 198.51.100.101) trong vòng 5 giây. Việc sử dụng cổng nguồn 443 cho lưu lượng đi ra là bất thường và lượng dữ liệu lớn này rất đáng ngờ.,Có,"Rò rỉ dữ liệu (Data Exfiltration), Hoạt động Command and Control (C2)",Cao,Lập tức cách ly máy chủ 10.0.0.5 và tiến hành điều tra sâu để xác định nguyên nhân và mức độ xâm nhập. Chặn các kết nối ra bên ngoài từ IP này.,"Nếu là rò rỉ dữ liệu, kẻ tấn công có thể đã giành quyền kiểm soát máy chủ và sẽ tiếp tục thu thập hoặc truyền dữ liệu nhạy cảm."
2025-09-26T14:20:15Z,198.51.100.23,10.0.0.5,49212,22,TCP,DENY,0,101,eth0,"['2025-09-26T18:00:00Z', '2025-09-26T18:00:01Z', '2025-09-26T18:00:02Z']",Máy chủ nội bộ 10.0.0.50 thực hiện ba kết nối SSH liên tiếp trong ba giây đến máy chủ nội bộ 10.0.0.51. Điều này có thể cho thấy hoạt động dò quét nội bộ hoặc di chuyển ngang trong mạng.,Có,"Dò quét nội bộ (Internal Reconnaissance), Di chuyển ngang (Lateral Movement), Tấn công vét cạn nội bộ (Internal Brute Force)",Trung bình,"Kiểm tra nhật ký xác thực trên 10.0.0.51 và hoạt động của 10.0.0.50 để xác định tính hợp pháp của các kết nối này. Nếu không hợp pháp, cần điều tra sâu hơn.","Nếu là tấn công, kẻ tấn công có thể đang cố gắng giành quyền truy cập vào các hệ thống nội bộ khác để mở rộng phạm vi xâm nhập."
2025-09-26T15:00:00Z,10.0.0.5,198.51.100.100,443,52345,TCP,ALLOW,104857600,201,eth1,"['2025-09-26T15:02:10Z', '2025-09-26T17:00:00Z', '2025-09-26T19:00:00Z', '2025-09-26T20:05:00Z', '2025-09-26T21:00:00Z', '2025-09-26T21:20:00Z', '2025-09-26T22:05:00Z', '2025-09-26T22:15:00Z', '2025-09-26T22:35:00Z']","Nhiều địa chỉ IP bên ngoài khác nhau đã liên tục cố gắng kết nối đến các dịch vụ nhạy cảm (RDP, SSH, MySQL, SMTP, IMAP, Telnet) trên các máy chủ nội bộ khác nhau. Tất cả các nỗ lực này đều bị tường lửa từ chối, cho thấy hoạt động dò quét và tấn công vét cạn liên tục từ bên ngoài.",Có,"Dò quét mạng (Network Reconnaissance), Tấn công vét cạn (Brute Force), Khai thác lỗ hổng (Exploitation Attempt)",Trung bình,Tiếp tục theo dõi các quy tắc chặn của tường lửa. Cân nhắc triển khai hệ thống IPS/IDS để chủ động chặn các IP tấn công và tăng cường bảo mật cho các dịch vụ nhạy cảm.,"Kẻ tấn công có thể thay đổi chiến thuật, thử các cổng hoặc dịch vụ khác, hoặc tìm kiếm các lỗ hổng ứng dụng."
2025-09-26T15:00:05Z,10.0.0.5,198.51.100.101,443,52346,TCP,ALLOW,2048000,201,eth1,"['2025-09-26T19:10:00Z', '2025-09-26T19:15:00Z', '2025-09-26T21:30:00Z', '2025-09-26T22:30:00Z']","Các máy chủ nội bộ (10.0.0.70, 10.0.0.80, 10.0.0.112, 10.0.0.126) đã cố gắng kết nối đến các dịch vụ nhạy cảm (SSH, FTP) trên các địa chỉ IP bên ngoài, nhưng đều bị tường lửa từ chối. Điều này có thể là dấu hiệu của phần mềm độc hại đang cố gắng thiết lập kênh C2 hoặc người dùng cố gắng thực hiện các hành động trái phép.",Có,"Hoạt động Command and Control (C2), Rò rỉ dữ liệu (Data Exfiltration), Hoạt động trái phép của người dùng (Unauthorized User Activity)",Trung bình,Cần kiểm tra các máy chủ nguồn này để tìm dấu hiệu nhiễm phần mềm độc hại hoặc hoạt động trái phép. Thực hiện quét virus và kiểm tra nhật ký hệ thống.,"Nếu là phần mềm độc hại, nó có thể thử các kênh giao tiếp khác hoặc phương pháp rò rỉ dữ liệu khác để vượt qua tường lửa."
2025-09-26T15:01:00Z,10.0.0.8,10.0.0.9,445,49152,TCP,ALLOW,5120,301,br0,"['2025-09-26T16:15:00Z', '2025-09-26T21:10:00Z', '2025-09-26T22:10:00Z']","Một số máy chủ nội bộ đã kết nối ra bên ngoài qua cổng 8080, với lượng dữ liệu từ nhỏ đến trung bình. Cổng 8080 thường được dùng cho proxy hoặc các dịch vụ web thay thế, nhưng cũng có thể được sử dụng cho Command and Control (C2) hoặc các kết nối không mong muốn.",Có thể,"Hoạt động Command and Control (C2), Kết nối không mong muốn (Unsanctioned Connection)",Thấp,"Kiểm tra mục đích của các kết nối này. Nếu không phải là dịch vụ kinh doanh hợp pháp, cần điều tra thêm các máy chủ nguồn để tìm dấu hiệu phần mềm độc hại hoặc cấu hình sai.","Nếu là hoạt động C2, có thể sẽ có thêm các kết nối hoặc hoạt động độc hại khác thông qua cổng này."
2025-09-26T15:02:10Z,203.0.113.45,10.0.0.10,5678,3389,TCP,DENY,0,102,eth0,,,,,,,
2025-09-26T16:10:00Z,192.0.2.10,10.0.0.20,12345,80,TCP,ALLOW,3456,150,eth2,,,,,,,
2025-09-26T16:11:00Z,192.0.2.11,10.0.0.20,12346,80,TCP,ALLOW,4096,150,eth2,,,,,,,
2025-09-26T16:11:10Z,192.0.2.12,10.0.0.20,12347,80,TCP,ALLOW,5120,150,eth2,,,,,,,
