timestamp,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes,rule_id,interface,entry,summary,suspicious,risk_type,severity,action.1,next_prediction
2025-09-27T09:00:00Z,10.0.0.5,8.8.8.8,54321,53,UDP,ALLOW,64,210,eth1,"['2025-09-27T09:02:00Z', '2025-09-27T09:02:05Z', '2025-09-27T09:04:00Z', '2025-09-27T09:07:00Z']","IP nguồn 198.51.100.23 từ bên ngoài liên tục cố gắng kết nối đến máy nội bộ 10.0.0.5 qua các cổng SSH (22) và RDP (3389), tất cả đều bị từ chối bởi quy tắc tường lửa.",Có,Quét cổng và thử tấn công brute force để truy cập trái phép (Port Scanning and Brute Force Attempt),Trung bình,Chặn ngay IP 198.51.100.23 và theo dõi các kết nối tương tự từ các IP khác,Kẻ tấn công có thể tiếp tục quét các cổng khác hoặc thử các phương pháp khai thác lỗ hổng khác trên mạng nội bộ
2025-09-27T09:01:00Z,10.0.0.5,198.51.100.100,443,52345,TCP,ALLOW,1024,201,eth1,['2025-09-27T09:06:00Z'],"Máy nội bộ 10.0.0.5 thực hiện kết nối HTTPS đến IP bên ngoài 198.51.100.102 và tải xuống lượng dữ liệu lớn bất thường (khoảng 2MB), trong khi các kết nối khác chỉ có dữ liệu nhỏ.",Có,Tải xuống phần mềm độc hại hoặc dữ liệu đáng ngờ (Malware Download hoặc Command and Control Communication),Cao,"Kiểm tra ngay nội dung tải xuống, quét virus trên máy 10.0.0.5 và cách ly nếu cần",Máy 10.0.0.5 có thể bị nhiễm mã độc và thực hiện các hành động tiếp theo như trích xuất dữ liệu hoặc di chuyển ngang trong mạng
2025-09-27T09:02:00Z,198.51.100.23,10.0.0.5,49212,22,TCP,DENY,0,101,eth0,"['2025-09-27T09:00:00Z', '2025-09-27T09:01:00Z', '2025-09-27T09:03:00Z', '2025-09-27T09:05:00Z', '2025-09-27T09:08:00Z']","Các kết nối outbound thông thường từ 10.0.0.5 bao gồm truy vấn DNS đến Google DNS, truy cập HTTP/HTTPS đến các IP bên ngoài với lượng dữ liệu nhỏ, không có dấu hiệu bất thường.",Không,Hoạt động mạng bình thường (Normal Network Traffic),Thấp,Tiếp tục theo dõi để đảm bảo không có thay đổi bất thường,"Các hoạt động này có thể tiếp tục như bình thường, trừ khi có sự can thiệp từ các sự kiện đáng ngờ khác"
2025-09-27T09:02:05Z,198.51.100.23,10.0.0.5,49213,22,TCP,DENY,0,101,eth0,,,,,,,
2025-09-27T09:03:00Z,10.0.0.5,198.51.100.101,80,52346,TCP,ALLOW,512,201,eth1,,,,,,,
2025-09-27T09:04:00Z,198.51.100.23,10.0.0.5,49214,22,TCP,DENY,0,101,eth0,,,,,,,
2025-09-27T09:05:00Z,10.0.0.5,8.8.4.4,54322,53,UDP,ALLOW,64,210,eth1,,,,,,,
2025-09-27T09:06:00Z,10.0.0.5,198.51.100.102,443,52347,TCP,ALLOW,2048000,201,eth1,,,,,,,
2025-09-27T09:07:00Z,198.51.100.23,10.0.0.5,49215,3389,TCP,DENY,0,102,eth0,,,,,,,
2025-09-27T09:08:00Z,10.0.0.5,192.0.2.10,80,52348,TCP,ALLOW,1024,201,eth1,,,,,,,
