timestamp,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes,rule_id,interface,label,entry,summary,suspicious,risk_type,severity,action.1,next_prediction
2025-09-27T10:00:00Z,10.0.0.30,198.51.100.200,40000,80,TCP,ALLOW,8192,201,eth1,normal,"['2025-09-27T10:01:00Z', '2025-09-27T10:03:00Z', '2025-09-27T10:05:00Z', '2025-09-27T10:08:00Z', '2025-09-27T10:07:00Z']","IP nguồn 203.0.113.55 (không xác định) liên tục gửi các yêu cầu DENY đến IP đích 10.0.0.30 trên cổng 22 (SSH) và 3389 (RDP), đồng thời IP đích 10.0.0.30 gửi dữ liệu lớn (100MB) đến IP 198.51.100.202 trên cổng 443 (HTTPS).",Có,Thử xâm nhập trái phép (Unauthorized Access) và khai thác dữ liệu trái phép (Data Exfiltration),Cao,Lặp tức chặn quyền và điều tra,Người dùng IP 203.0.113.55 có thể tiếp tục tấn công hoặc IP 10.0.0.30 sẽ gửi thêm dữ liệu lớn để trộm thông tin.
2025-09-27T10:01:00Z,203.0.113.55,10.0.0.30,33333,22,TCP,DENY,0,101,eth0,suspicious,,,,,,,
2025-09-27T10:02:00Z,10.0.0.30,198.51.100.200,40001,443,TCP,ALLOW,16384,201,eth1,normal,,,,,,,
2025-09-27T10:03:00Z,203.0.113.55,10.0.0.30,33334,22,TCP,DENY,0,101,eth0,suspicious,,,,,,,
2025-09-27T10:04:00Z,10.0.0.30,8.8.8.8,54321,53,UDP,ALLOW,64,210,eth1,normal,,,,,,,
2025-09-27T10:05:00Z,203.0.113.55,10.0.0.30,33335,3389,TCP,DENY,0,102,eth0,suspicious,,,,,,,
2025-09-27T10:06:00Z,10.0.0.30,198.51.100.201,40002,80,TCP,ALLOW,4096,201,eth1,normal,,,,,,,
2025-09-27T10:07:00Z,10.0.0.30,198.51.100.202,104857600,443,TCP,ALLOW,104857600,201,eth1,suspicious,,,,,,,
2025-09-27T10:08:00Z,203.0.113.55,10.0.0.30,33336,22,TCP,DENY,0,101,eth0,suspicious,,,,,,,
2025-09-27T10:09:00Z,10.0.0.30,192.0.2.20,40003,443,TCP,ALLOW,1024,201,eth1,normal,,,,,,,
