session_id,parent_tracking_id,source_ip,geo_country,is_external_ip,is_off_hours,session_duration_sec,total_requests,req_per_min,min_interarrival_sec,avg_uri_depth,error_404_rate,error_403_rate,error_50x_rate,post_rate,rare_method_rate,unique_path_ratio,static_asset_ratio,suspicious_ext_rate,status_diversity,unique_uas,avg_payload_bytes,max_resp_bytes,l1_alert_count,l1_alert_types
10.143.3.65_20220121055522,10.143.3.65_20220121055522,10.143.3.65,LOCAL,0,1,961.0,90,5.62,0.0,3.91,0.0444,0.0,0.0,0.2889,0.0,0.2333,0.6,0.2889,2,1,11993.2,79823.0,0,
::1_20220121055532,::1_20220121055532,::1,LOCAL,0,1,141.0,4,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,1,1,110.0,110.0,0,
::1_20220121063001,::1_20220121063001,::1,LOCAL,0,0,875.0,42,2.88,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0238,0.0,0.0,1,1,110.0,110.0,0,
::1_20220121065632,::1_20220121065632,::1,LOCAL,0,0,0.0,2,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1,1,110.0,110.0,0,
10.143.2.4_20220121055527,10.143.2.4_20220121055527,10.143.2.4,LOCAL,0,1,0.0,4,240.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,1,1,4643.5,9137.0,0,
::1_20220121071258,::1_20220121071258,::1,LOCAL,0,0,347.0,18,3.11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0556,0.0,0.0,1,1,110.0,110.0,0,
172.19.131.174_20220121063014,172.19.131.174_20220121063014,172.19.131.174,LOCAL,0,0,3727.0,812,13.07,0.0,3.78,0.0,0.0,0.0,0.1182,0.0,0.2007,0.8153,0.0616,2,1,3854.01,79823.0,0,
::1_20220121073103,::1_20220121073103,::1,LOCAL,0,0,0.0,2,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1,1,110.0,110.0,0,
10.143.3.65_20220121062944,10.143.3.65_20220121062944,10.143.3.65,LOCAL,0,0,4178.0,1452,20.85,0.0,4.12,0.0,0.0,0.0,0.0372,0.0234,0.2672,0.7507,0.051,5,1,13512.08,6128772.0,0,
::1_20220121075339,::1_20220121075339,::1,LOCAL,0,0,1075.0,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0556,0.0,0.0,1,1,110.0,110.0,0,
