session_id,parent_tracking_id,markov_threat_score,sequence_summary,anomaly_reasons
172.19.131.174_20220124035653_000000,172.19.131.174_20220124035653_000000,100.0,WAF_ALERT,High density of hostile behavior (99.3%)
::1_20220121171822_000000,::1_20220121171822_000000,66.88,WAF_ALERT -> GENERIC_GET,High density of hostile behavior (66.7%)
::1_20220121172626_000000,::1_20220121172626_000000,50.46,WAF_ALERT -> GENERIC_GET,High density of hostile behavior (57.1%)
::1_20220123144538_000000,::1_20220123144538_000000,49.63,WAF_ALERT -> GENERIC_GET,High density of hostile behavior (57.1%)
::1_20220122203627_000000,::1_20220122203627_000000,44.47,GENERIC_GET -> WAF_ALERT,High density of hostile behavior (53.8%)
::1_20220121112954_000000,::1_20220121112954_000000,44.2,GENERIC_GET -> WAF_ALERT,High density of hostile behavior (53.3%)
192.168.230.122_20220124035653_000000,192.168.230.122_20220124035653_000000,39.52,WAF_ALERT -> SERVER_INTERNAL_ERROR,High density of hostile behavior (50.0%)
::1_20220122184811_000000,::1_20220122184811_000000,39.19,GENERIC_GET -> WAF_ALERT,High density of hostile behavior (50.0%)
::1_20220121214742_000000,::1_20220121214742_000000,38.9,GENERIC_GET -> WAF_ALERT,High density of hostile behavior (50.0%)
::1_20220123173552_000000,::1_20220123173552_000000,33.59,GENERIC_GET,High density of hostile behavior (46.2%)
::1_20220122181134_000000,::1_20220122181134_000000,33.42,GENERIC_GET -> WAF_ALERT,High density of hostile behavior (46.2%)
::1_20220122183039_000000,::1_20220122183039_000000,32.41,GENERIC_GET -> WAF_ALERT,High density of hostile behavior (45.5%)
::1_20220122170827_000000,::1_20220122170827_000000,32.0,WAF_ALERT -> GENERIC_GET,High density of hostile behavior (45.5%)
::1_20220121163227_000000,::1_20220121163227_000000,28.26,WAF_ALERT -> GENERIC_GET,High density of hostile behavior (42.9%)
10.143.2.4_20220122125442_000000,10.143.2.4_20220122125442_000000,6.74,SENSITIVE_FILE_ACCESS -> GENERIC_GET -> SERVER_INTERNAL_ERROR,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_SERVER_INTERNAL_ERROR (p=0.0004)
::1_20220121201848_000000,::1_20220121201848_000000,6.07,GENERIC_GET -> WAF_ALERT,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_WAF_ALERT (p=0.0260)
10.143.2.4_20220124130151_000000,10.143.2.4_20220124130151_000000,5.63,GENERIC_GET -> SENSITIVE_FILE_ACCESS -> SERVER_INTERNAL_ERROR,Rare transition: SENSITIVE_FILE_ACCESS -> [HUMAN_SPEED]_SERVER_INTERNAL_ERROR (p=0.0015)
10.143.2.91_20220124151643_000000,10.143.2.91_20220124151643_000000,5.51,DYNAMIC_QUERY -> GENERIC_GET -> CLIENT_ERR,Rare transition: GENERIC_GET -> [SESSION_RESUME]_DYNAMIC_QUERY (p=0.0019)
::1_20220122194010_000000,::1_20220122194010_000000,5.25,GENERIC_GET,Rare transition: GENERIC_GET -> [SESSION_RESUME]_GENERIC_GET (p=0.0341)
10.143.2.91_20220121161352_000000,10.143.2.91_20220121161352_000000,4.96,STATIC_ASSET -> GENERIC_GET -> DYNAMIC_QUERY -> ADMIN_ACTION,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_CLIENT_ERR (p=0.0027)
10.143.2.91_20220123132949_000000,10.143.2.91_20220123132949_000000,4.75,GENERIC_GET -> DYNAMIC_QUERY -> STATIC_ASSET -> ADMIN_ACTION,Rare transition: GENERIC_GET -> [SESSION_RESUME]_DYNAMIC_QUERY (p=0.0019)
10.143.2.4_20220121055527_000000,10.143.2.4_20220121055527_000000,4.67,GENERIC_GET -> SENSITIVE_FILE_ACCESS,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_SENSITIVE_FILE_ACCESS (p=0.0415)
10.143.2.91_20220122083856_000000,10.143.2.91_20220122083856_000000,4.43,STATIC_ASSET -> ADMIN_ACTION -> GENERIC_GET -> DYNAMIC_QUERY,Rare transition: GENERIC_GET -> [SESSION_RESUME]_DYNAMIC_QUERY (p=0.0019)
::1_20220121154229_000000,::1_20220121154229_000000,4.23,GENERIC_GET,Rare transition: GENERIC_GET -> [SESSION_RESUME]_GENERIC_GET (p=0.0341)
10.143.2.4_20220124035653_000000,10.143.2.4_20220124035653_000000,4.02,SENSITIVE_FILE_ACCESS -> GENERIC_GET,Rare transition: SENSITIVE_FILE_ACCESS -> [MACHINE_SPEED]_GENERIC_GET (p=0.0515)
10.143.2.4_20220122055813_000000,10.143.2.4_20220122055813_000000,4.02,SENSITIVE_FILE_ACCESS -> GENERIC_GET,Rare transition: SENSITIVE_FILE_ACCESS -> [MACHINE_SPEED]_GENERIC_GET (p=0.0515)
10.143.2.4_20220123124741_000000,10.143.2.4_20220123124741_000000,4.02,SENSITIVE_FILE_ACCESS -> GENERIC_GET,Rare transition: SENSITIVE_FILE_ACCESS -> [MACHINE_SPEED]_GENERIC_GET (p=0.0515)
10.143.2.4_20220123063614_000000,10.143.2.4_20220123063614_000000,4.02,SENSITIVE_FILE_ACCESS -> GENERIC_GET,Rare transition: SENSITIVE_FILE_ACCESS -> [MACHINE_SPEED]_GENERIC_GET (p=0.0515)
10.143.2.91_20220122105747_000000,10.143.2.91_20220122105747_000000,3.77,ADMIN_ACTION -> STATIC_ASSET -> GENERIC_GET -> CLIENT_ERR,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_CLIENT_ERR (p=0.0027)
10.143.3.65_20220121194252_000000,10.143.3.65_20220121194252_000000,3.56,DYNAMIC_QUERY -> ADMIN_ACTION -> GENERIC_GET,Rare transition: GENERIC_GET -> [SESSION_RESUME]_DYNAMIC_QUERY (p=0.0019)
::1_20220123202724_000000,::1_20220123202724_000000,3.2,GENERIC_GET,Rare transition: GENERIC_GET -> [SESSION_RESUME]_GENERIC_GET (p=0.0341)
::1_20220122190418_000000,::1_20220122190418_000000,2.95,WAF_ALERT -> GENERIC_GET,Rare transition: GENERIC_GET -> [SESSION_RESUME]_GENERIC_GET (p=0.0341)
::1_20220124201751_000000,::1_20220124201751_000000,2.67,GENERIC_GET -> WAF_ALERT,Rare transition: WAF_ALERT -> [SESSION_RESUME]_GENERIC_GET (p=0.0327)
10.143.2.91_20220124132245_000000,10.143.2.91_20220124132245_000000,2.4,ADMIN_ACTION -> STATIC_ASSET -> GENERIC_GET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_ADMIN_ACTION (p=0.0097)
10.143.2.91_20220124160553_000000,10.143.2.91_20220124160553_000000,2.31,GENERIC_GET -> AUTH_ACTION -> SENSITIVE_FILE_ACCESS,Rare transition: AUTH_ACTION -> [HUMAN_SPEED]_FORM_SUBMISSION (p=0.0124)
::1_20220124194033_000000,::1_20220124194033_000000,2.17,GENERIC_GET,Rare transition: GENERIC_GET -> [SESSION_RESUME]_GENERIC_GET (p=0.0341)
::1_20220123192942_000000,::1_20220123192942_000000,2.16,GENERIC_GET -> WAF_ALERT,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_WAF_ALERT (p=0.0260)
::1_20220121083951_000000,::1_20220121083951_000000,2.08,GENERIC_GET,Rare transition: GENERIC_GET -> [SESSION_RESUME]_WAF_ALERT (p=0.0019)
::1_20220121222249_000000,::1_20220121222249_000000,2.05,GENERIC_GET -> WAF_ALERT,Rare transition: GENERIC_GET -> [SESSION_RESUME]_GENERIC_GET (p=0.0341)
