session_id,parent_tracking_id,source_ip,geo_country,is_external_ip,is_off_hours,session_duration_sec,total_requests,req_per_min,min_interarrival_sec,avg_uri_depth,error_404_rate,error_403_rate,error_50x_rate,post_rate,rare_method_rate,unique_path_ratio,static_asset_ratio,suspicious_ext_rate,status_diversity,unique_uas,avg_payload_bytes,max_resp_bytes,l1_alert_count,l1_alert_types
::1_20200229000024,::1_20200229000024,::1,LOCAL,0,1,72.0,5,4.17,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,1,1,110.0,110,0,
::1_20200229001955,::1_20200229001955,::1,LOCAL,0,1,1005.0,21,1.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0476,0.0,0.0,1,1,110.0,110,0,
192.168.10.130_20200229000003,192.168.10.130_20200229000003,192.168.10.130,LOCAL,0,1,1293.0,176,8.17,0.0,2.7,0.0,0.0,0.0,0.375,0.0,0.1534,0.0,0.4318,2,2,5798.2,24715,0,
::1_20200229005149,::1_20200229005149,::1,LOCAL,0,1,193.0,2,0.62,193.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1,1,110.0,110,0,
::1_20200229074624,::1_20200229074624,::1,LOCAL,0,0,482.0,11,1.37,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0909,0.0,0.0,1,1,110.0,110,0,
192.168.10.81_20200229000002,192.168.10.81_20200229000002,192.168.10.81,LOCAL,0,1,2392.0,676,16.96,0.0,3.59,0.0,0.0,0.0,0.1553,0.0,0.3047,0.6627,0.1124,2,1,3594.28,50928,0,
192.168.10.130_20200229064432,192.168.10.130_20200229064432,192.168.10.130,LOCAL,0,0,7180.0,682,5.7,0.0,2.97,0.0,0.0,0.0,0.3152,0.0,0.1349,0.1261,0.368,2,2,4531.25,24720,0,
192.168.10.130_20200229084449,192.168.10.130_20200229064432,192.168.10.130,LOCAL,0,0,1109.0,81,4.38,0.0,2.9,0.0,0.0,0.0,0.321,0.0,0.3457,0.0741,0.4074,2,1,4562.52,24711,0,
::1_20200229080518,::1_20200229080518,::1,LOCAL,0,0,6950.0,149,1.29,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0067,0.0,0.0,1,1,110.0,110,0,
192.168.10.130_20200229093603,192.168.10.130_20200229093603,192.168.10.130,LOCAL,0,0,1085.0,96,5.31,0.0,3.26,0.0,0.0,0.0,0.6042,0.0,0.2292,0.0,0.1875,2,1,4835.24,24715,0,
